techs,nodes,O_1,O_2
ac_ohl,GBR_1,,28.67
ac_ohl,GBR_2,,39
ac_ohl,GBR_3,,27.39
ac_ohl,GBR_4,,29.87
ac_ohl,GBR_5,,26
ac_ohl,GBR_6,,33
